DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
12/13/11,22032556,Brockschmidt FF,10/27/11,Br J Dermatol,www.ncbi.nlm.nih.gov/pubmed/22032556,Susceptibility variants on chromosome 7p21.1 suggest HDAC9 as a new candidate gene for male-pattern baldness.,Male-pattern baldness,"581 European ancestry male cases, 617 European ancestry male controls","461 European ancestry male cases, 151 European ancestry male controls",Xq12,X,67343176,"AR, EDA2R",RNU6-394P - AL049641.1,ENSG00000222667,ENSG00000226280,,666812,30397,rs2497938-?,rs2497938,0,2497938,intergenic_variant,1,NR,3.00E-22,21.52287875,,6.5,[4.30-9.82],Illumina [560387],N
7/17/12,22634755,Dunlop MG,5/27/12,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22634755,"Common variation near CDKN1A, POLD3 and SHROOM2 influences colorectal cancer risk.",Colorectal cancer,"8,323 European ancestry cases, 9,457 European ancestry controls","19,513 European ancestry cases, 17,657 European ancestry controls, 1,583 Japanese ancestry cases, 1,898 Japanese ancestry controls",Xp22.2,X,9783434,SHROOM2,GPR143,,,ENSG00000101850,,,rs5934683-?,rs5934683,0,5934683,intron_variant,0,NR,7.00E-10,9.15490196,,1.07,[1.04-1.10],Illumina [NR] (imputed),N
9/16/13,23535732,Eeles RA,4/1/13,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/23535732,Identification of 23 new prostate cancer susceptibility loci using the iCOGS custom genotyping array.,Prostate cancer,"11,085 European ancestry cases, 11,463 European ancestry controls","19,662 European ancestry cases, 19,715 European ancestry controls",Xp22.2,X,9846095,"GPR143, LOC100288814, SHROOM2, TBL1X, WWC3",SHROOM2,,,ENSG00000146950,,,rs2405942-A,rs2405942,0,2405942,intron_variant,0,0.79,2.00E-10,9.698970004,,1.14,[1.09-1.2],Illumina [~ 2600000] (imputed),N
6/8/11,21623375,Albagha OM,5/29/11,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/21623375,Genome-wide association identifies three new susceptibility loci for Paget's disease of bone.,Paget's disease,"741 European ancestry cases, 2,699 European ancestry controls","1,474 European ancestry cases, 1,671 European ancestry controls",Xq24,X,119433739,SLC25A43,SLC25A43,,,ENSG00000077713,,,rs5910578-C,rs5910578,0,5910578,intron_variant,0,0.74,1.00E-07,7,,1.34,[NR],Illumina [2487078] (imputed),N
6/16/08,18264097,Eeles RA,2/10/08,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/18264097,Multiple newly identified loci associated with prostate cancer susceptibility.,Prostate cancer,"1,854 European ancestry cases, 1,894 European ancestry controls","3,268 European ancestry cases, 3,366 European ancestry controls",Xp11.22,X,51498820,"NUDT10, NUDT11",LINC01496,,,ENSG00000234766,,,rs5945619-C,rs5945619,0,5945619,non_coding_transcript_exon_variant,0,0.36,2.00E-09,8.698970004,,1.19,[1.07-1.31],Illumina [541129],N
11/13/12,20125193,Cirulli ET,2/3/10,Eur J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/20125193,Common genetic variation and performance on standardized cognitive tests.,Cognitive performance,"Up to 813 European ancestry individuals, up to 167 East Asian ancestry individuals, up to 7 Hispanic/Latin American individuals, up to 74 South Asian ancestry individuals",NA,Xq28,X,149485920,IDS,"AC244197.3, IDS",,,"ENSG00000241489, ENSG00000010404",,,rs530501-?,rs530501,0,530501,intron_variant,0,NR,4.00E-06,5.397940009,(TrailsA),,,Illumina [up to 563855],N
11/13/12,20125193,Cirulli ET,2/3/10,Eur J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/20125193,Common genetic variation and performance on standardized cognitive tests.,Cognitive performance,"Up to 813 European ancestry individuals, up to 167 East Asian ancestry individuals, up to 7 Hispanic/Latin American individuals, up to 74 South Asian ancestry individuals",NA,Xq21.31,X,90033228,RP13-140E4.1,TGIF2LX - AL121877.1,ENSG00000153779,ENSG00000227581,,110345,5985,rs5941436-?,rs5941436,0,5941436,intergenic_variant,1,NR,5.00E-06,5.301029996,(TrailsB),,,Illumina [up to 563855],N
11/8/11,21998595,N'Diaye A,10/6/11,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/21998595,"Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.",Height,"20,427 African ancestry individuals","Up to 16,436 African American individuals",Xp22.33,X,2967682,ARSE,ARSL,,,ENSG00000157399,,,rs12393627-A,rs12393627,0,12393627,intron_variant,0,0.63,6.00E-12,11.22184875,,0.072,[0.052-0.092] unit decrease,"Affymetrix, Illumina [3310998] (imputed)",N
8/7/13,23568457,Wade TD,4/9/13,Int J Eat Disord,www.ncbi.nlm.nih.gov/pubmed/23568457,Genetic variants associated with disordered eating.,Anorexia nervosa,"237 European ancestry female cases, 2,287 European ancestry female controls",NA,Xp11.4,X,38140399,SYTL5,AF241726.2,,,ENSG00000250349,,,rs56156506-A,rs56156506,0,56156506,intron_variant,0,0.813,1.00E-06,6,,0.053,[0.031-0.075] unit decrease,Illumina [6150213] (imputed),N
1/13/16,25710614,Hong X,2/24/15,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/25710614,Genome-wide association study identifies peanut allergy-specific loci and evidence of epigenetic mediation in US children.,Egg allergy,"217 European ancestry child cases, 144 European ancestry non-allergic non-sensitized normal child controls, 688 European ancestry uncertain phenotype child controls, 1,148 European ancestry uncertain phenotype adult controls",NA,Xp11.22,X,54776087,ITIH5L,ITIH6,,,ENSG00000102313,,,rs5961136-?,rs5961136,0,5961136,intron_variant,0,NR,2.00E-06,5.698970004,,,,Illumina [6459842] (imputed),N
1/9/20,23823483,Rhee EP,7/2/13,Cell Metab,www.ncbi.nlm.nih.gov/pubmed/23823483,A genome-wide association study of the human metabolome in a community-based cohort.,Metabolite levels,"2,076 European ancestry individuals",NA,Xq27.1,X,139549056,MCF2,F9,,,ENSG00000101981,,,rs374988-?,rs374988,0,374988,intron_variant,0,NR,4.00E-07,6.397940009,(PC 36:2),0.4221909,[0.26-0.59] unit decrease,Affymetrix [at least 2500000] (imputed),N
1/9/20,23823483,Rhee EP,7/2/13,Cell Metab,www.ncbi.nlm.nih.gov/pubmed/23823483,A genome-wide association study of the human metabolome in a community-based cohort.,Metabolite levels,"2,076 European ancestry individuals",NA,Xq27.1,X,139549056,MCF2,F9,,,ENSG00000101981,,,rs374988-?,rs374988,0,374988,intron_variant,0,NR,1.00E-06,6,(PC 36:3),0.4048951,[0.24-0.57] unit decrease,Affymetrix [at least 2500000] (imputed),N
9/14/15,25387704,Malone SM,12/1/14,Psychophysiology,www.ncbi.nlm.nih.gov/pubmed/25387704,Heritability and molecular-genetic basis of resting EEG activity: a genome-wide association study.,Electroencephalogram traits,"2,383 European ancestry adolescents and 1,643 European ancestry adults from 1,613 families",NA,Xq24,X,120752888,intergenic,AC011890.1 - PA2G4P1,ENSG00000181511,ENSG00000237828,,19492,115723,rs5956244-?,rs5956244,0,5956244,TF_binding_site_variant,1,NR,6.00E-06,5.22184875,"(Alpha peak frequency, occipital",0.051,[0.029-0.073] unit increase,Illumina [527829],N
9/14/15,25387704,Malone SM,12/1/14,Psychophysiology,www.ncbi.nlm.nih.gov/pubmed/25387704,Heritability and molecular-genetic basis of resting EEG activity: a genome-wide association study.,Electroencephalogram traits,"2,383 European ancestry adolescents and 1,643 European ancestry adults from 1,613 families",NA,Xq28,X,150945697,intergenic,AF274573.1 - RNU6-383P,ENSG00000230153,ENSG00000222796,,24759,9797,rs5969978-?,rs5969978,0,5969978,intergenic_variant,1,NR,4.00E-06,5.397940009,"(Theta power, Cz)",0.064,[0.037-0.091] unit increase,Illumina [527829],N
4/16/15,25056061,Ripke S,7/22/14,Nature,www.ncbi.nlm.nih.gov/pubmed/25056061,Biological insights from 108 schizophrenia-associated genetic loci.,Schizophrenia,"32,405 European ancestry cases, 42,221 European ancestry controls, 1,235 European ancestry cases and 1,235 European ancestry controls from 1235 parent-offspring trios, 1,836 East Asian ancestry cases, 3,383 East Asian ancestry controls","1,513 European ancestry cases, 66,236 European ancestry controls",Xp22.31,X,6111492,NLGN4X,NLGN4X,,,ENSG00000146938,,,rs12845396-T,rs12845396,0,12845396,intron_variant,0,0.247,2.00E-08,7.698970004,,1.0559661,[1.04-1.08],"Affymetrix, Illumina [9005918] (imputed)",N
4/16/15,25056061,Ripke S,7/22/14,Nature,www.ncbi.nlm.nih.gov/pubmed/25056061,Biological insights from 108 schizophrenia-associated genetic loci.,Schizophrenia,"32,405 European ancestry cases, 42,221 European ancestry controls, 1,235 European ancestry cases and 1,235 European ancestry controls from 1235 parent-offspring trios, 1,836 East Asian ancestry cases, 3,383 East Asian ancestry controls","1,513 European ancestry cases, 66,236 European ancestry controls",Xp22.12,X,21362148,CNKSR2,AL807742.1,,,ENSG00000283380,,,rs1378559-T,rs1378559,0,1378559,intron_variant,0,0.831,2.00E-12,11.69897,,1.09,[1.064-1.116],"Affymetrix, Illumina [9005918] (imputed)",N
4/16/15,25056061,Ripke S,7/22/14,Nature,www.ncbi.nlm.nih.gov/pubmed/25056061,Biological insights from 108 schizophrenia-associated genetic loci.,Schizophrenia,"32,405 European ancestry cases, 42,221 European ancestry controls, 1,235 European ancestry cases and 1,235 European ancestry controls from 1235 parent-offspring trios, 1,836 East Asian ancestry cases, 3,383 East Asian ancestry controls","1,513 European ancestry cases, 66,236 European ancestry controls",Xq13.1,X,69157283,PJA1,EFNB1 - PJA1,ENSG00000090776,ENSG00000181191,,315123,3568,rs5937157-G,rs5937157,0,5937157,intergenic_variant,1,0.241,2.00E-10,9.698970004,,1.066098,[1.05-1.09],"Affymetrix, Illumina [9005918] (imputed)",N
10/28/14,24665060,Argos M,3/24/14,J Med Genet,www.ncbi.nlm.nih.gov/pubmed/24665060,Genome-wide association study of smoking behaviours among Bangladeshi adults.,Smoking initiation,"754 Bangladeshi ancestry never smoker males, 2,565 Bangladeshi ancestry never smoker females, 1,837 Bangladeshi ancestry ever smoker males, 198 Bangladeshi ancestry ever smoker females",NA,Xp11.21,X,55366646,"PAGE3, MAGEH1, MIR4536-1, RRAGB, LOC644924, USP51, XAGE-4",AL158819.1 - MIR4536-2,ENSG00000232765,ENSG00000266328,,77861,84849,rs4240023-?,rs4240023,0,4240023,intergenic_variant,1,,8.00E-08,7.096910013,(females),,,Illumina [1211988] (imputed),N
6/5/13,23412934,Gourraud PA,2/13/13,Brain,www.ncbi.nlm.nih.gov/pubmed/23412934,A genome-wide association study of brain lesion distribution in multiple sclerosis.,Multiple sclerosis,284 European ancestry individuals,,Xp21.1,X,34874386,TMEM47,AL596245.1 - FAM47B,ENSG00000273704,ENSG00000189132,,105698,68410,rs4271113-?,rs4271113,0,4271113,regulatory_region_variant,1,,9.00E-07,6.045757491,(Cluxel minimum distance),,,Illumina [208975],N
6/5/13,23412934,Gourraud PA,2/13/13,Brain,www.ncbi.nlm.nih.gov/pubmed/23412934,A genome-wide association study of brain lesion distribution in multiple sclerosis.,Multiple sclerosis,284 European ancestry individuals,,Xp22.2,X,13596999,EGFL6,EGFL6,,,ENSG00000198759,,,rs5978649-?,rs5978649,0,5978649,intron_variant,0,,4.00E-06,5.397940009,(Cluxel minimum distance),,,Illumina [208975],N
1/30/16,25866641,Xu W,3/19/15,Biomark Res,www.ncbi.nlm.nih.gov/pubmed/25866641,A genome wide association study on Newfoundland colorectal cancer patients' survival outcomes.,Survival in colon cancer,334 European ancestry cases,NA,Xq28,X,149380542,intergenic,AC231760.1 - AC231656.1,ENSG00000242186,ENSG00000287585,,323073,34344,rs17325431-?,rs17325431,0,17325431,intergenic_variant,1,,3.00E-06,5.522878745,(overall survival),2.47,[1.69-3.61],Illumina [729737],N
11/15/12,22961080,Li H,9/6/12,Diabetes,www.ncbi.nlm.nih.gov/pubmed/22961080,A genome-wide association study identifies GRK5 and RASGRP1 as type 2 diabetes loci in Chinese Hans.,Type 2 diabetes,"1,839 Han Chinese ancestry cases, 1,873 Han Chinese ancestry controls","15,979 East Asian ancestry cases, 19,360 East Asian ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 159 Filipino ancestry cases, 1,624 Filipino ancestry controls",Xq28,X,153597180,FAM58A,CCNQ,,,ENSG00000262919,,,rs12010175-G,rs12010175,0,12010175,intron_variant,0,0.786,2.00E-09,8.698970004,,1.21,[1.14-1.28],Illumina [2234194] (imputed),N
11/15/12,22961080,Li H,9/6/12,Diabetes,www.ncbi.nlm.nih.gov/pubmed/22961080,A genome-wide association study identifies GRK5 and RASGRP1 as type 2 diabetes loci in Chinese Hans.,Type 2 diabetes,"1,839 Han Chinese ancestry cases, 1,873 Han Chinese ancestry controls","15,979 East Asian ancestry cases, 19,360 East Asian ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 159 Filipino ancestry cases, 1,624 Filipino ancestry controls",Xq28,X,153634467,DUSP9,AF274858.1 - DUSP9,ENSG00000260081,ENSG00000130829,,20530,8025,rs5945326-A,rs5945326,0,5945326,regulatory_region_variant,1,0.606,7.00E-16,15.15490196,,1.18,[1.13-1.23],Illumina [2234194] (imputed),N
4/1/15,25130324,Cai DC,8/29/14,Genes Brain Behav,www.ncbi.nlm.nih.gov/pubmed/25130324,A genome-wide search for quantitative trait loci affecting the cortical surface area and thickness of Heschl's gyrus.,Heschl's gyrus morphology,"1,778 European ancestry individuals, 1,276 individuals",NA,Xq21.1,X,82507245,POU3F4,RPL22P22 - AL109931.1,ENSG00000213653,ENSG00000202183,,433,53956,rs7062395-A,rs7062395,0,7062395,intergenic_variant,1,0.81,2.00E-06,5.698970004,(Right HG thickness),0.0328,unit increase,"Affymetrix, Illumina [4103035] (imputed)",N
12/2/15,25897834,Biernacka JM,4/21/15,Transl Psychiatry,www.ncbi.nlm.nih.gov/pubmed/25897834,The International SSRI Pharmacogenomics Consortium (ISPC): a genome-wide association study of antidepressant treatment response.,Response to serotonin reuptake inhibitors in major depressive disorder,"298 European ancestry cases, 567 Asian ancestry cases, 1529 European and other ancestry cases",NA,Xp22.11,X,23356860,PTCHD1,PTCHD1,,,ENSG00000165186,,,rs7051085-?,rs7051085,0,7051085,intron_variant,0,NR,6.00E-06,5.22184875,(Response),1.59,[NR],Illumina [~ 7000000] (imputed),N
2/12/16,25939597,Berndt SI,5/5/15,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/25939597,Two susceptibility loci identified for prostate cancer aggressiveness.,Prostate cancer,"4,600 European ancestry cases, 2,941 European ancestry controls","7,779 European ancestry cases, 7,623 European ancestry controls",Xp11.22,X,52867918,NR,XAGE3,,,ENSG00000171402,,,rs2807031-C,rs2807031,0,2807031,intron_variant,0,0.161,4.00E-06,5.397940009,,1.15,[1.09-1.22],Illumina [1531807] (imputed),N
2/27/09,19136949,Carrasquillo MM,1/11/09,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/19136949,Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.,Alzheimer's disease,"844 European ancestry cases, 1,255 European ancestry controls","1,547 European ancestry cases, 1,209 European ancestry controls",Xq21.31,X,92147221,PCDH11X,PCDH11X,,,ENSG00000102290,,,rs2573905-?,rs2573905,0,2573905,intron_variant,0,0.46,2.00E-07,6.698970004,,1.29,[1.17-1.42],Illumina [313504],N
7/1/08,18391951,Gudbjartsson DF,4/6/08,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/18391951,Many sequence variants affecting diversity of adult human height.,Height,"30,968 European ancestry individuals","8,541 European ancestry individuals",Xq21.1,X,79393696,ITM2A,AL009028.1 - TBX22,ENSG00000270268,ENSG00000122145,,23531,621057,rs1474563-T,rs1474563,0,1474563,intergenic_variant,1,0.58,3.00E-06,5.522878745,,3.5,[1.93-5.07] % s.d. increase,"Affymetrix, Illumina [up to 304226]",N
1/14/09,19060910,Sabatti C,12/7/08,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/19060910,Genome-wide association analysis of metabolic traits in a birth cohort from a founder population.,LDL cholesterol,"4,763 Northern Finnish founder individuals",NA,Xq12,X,67722783,AR,AR,,,ENSG00000169083,,,rs5031002-A,rs5031002,0,5031002,intron_variant,0,0.02,2.00E-07,6.698970004,,0.3,[0.18-0.41] mmol/l increase,Illumina [329091],N
1/16/09,19079262,Styrkarsdottir U,12/14/08,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/19079262,New sequence variants associated with bone mineral density.,Bone mineral density (hip),"6,865 European ancestry individuals","8,510 European ancestry individuals",Xq21.2,X,86937000,NR,Z82210.1 - AL590229.2,ENSG00000236190,ENSG00000271457,,48184,206854,rs2710057-T,rs2710057,0,2710057,intergenic_variant,1,0.67,1.00E-06,6,,0.07,[0.04-0.09] s.d. decrease,Illumina [305051],N
6/16/08,17522711,Lencz T,3/20/07,Mol Psychiatry,www.ncbi.nlm.nih.gov/pubmed/17522711,Converging evidence for a pseudoautosomal cytokine receptor gene locus in schizophrenia.,Schizophrenia,"178 European ancestry cases, 144 European ancestry controls",NA,Xp22.33,X,1029445,"CSF2RA, IL3RA",RPL14P5 - CRLF2,ENSG00000225661,ENSG00000205755,,19344,158104,rs4129148-C,rs4129148,0,4129148,intergenic_variant,1,NR,4.00E-07,6.397940009,,3.23,[2.04-5.15],Affymetrix [439511],N
9/21/12,22760553,Adkins DE,7/3/12,Transl Psychiatry,www.ncbi.nlm.nih.gov/pubmed/22760553,Genome-wide pharmacogenomic study of citalopram-induced side effects in STAR*D.,Response to citalopram treatment,"1,392 European ancestry depression cases, 264 African American depression cases, 106 depression cases",NA,Xq23,X,117088295,intergenic,SETP8 - AC005002.2,ENSG00000213526,ENSG00000238066,,124619,309643,rs6646773-C,rs6646773,0,6646773,intergenic_variant,1,0.076,1.00E-06,6,(EA + AA - GSE),,,Affymetrix [421789],N
1/19/10,20041166,Fellay J,12/24/09,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/20041166,Common genetic variation and the control of HIV-1 in humans.,HIV-1 control,"2,362 European ancestry cases",NA,Xq26.2,X,133003128,intergenic,HS6ST2 - USP26,ENSG00000171004,ENSG00000134588,,41733,21503,rs17324272-?,rs17324272,0,17324272,intergenic_variant,1,NR,2.00E-07,6.698970004,(progression),,,Illumina [NR],N
1/19/10,20041166,Fellay J,12/24/09,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/20041166,Common genetic variation and the control of HIV-1 in humans.,HIV-1 control,"2,362 European ancestry cases",NA,Xq21.31,X,87935349,intergenic,AL136363.2 - AL035246.1,ENSG00000271056,ENSG00000230706,,125466,126241,rs12012519-?,rs12012519,0,12012519,intergenic_variant,1,NR,7.00E-06,5.15490196,(progression),,,Illumina [NR],N
1/19/10,20038947,Shyn SI,12/29/09,Mol Psychiatry,www.ncbi.nlm.nih.gov/pubmed/20038947,Novel loci for major depression identified by genome-wide association study of Sequenced Treatment Alternatives to Relieve Depression and meta-analysis of three studies.,Major depressive disorder (broad),"3,957 European ancestry cases, 3,428 European ancestry controls",NA,Xq21.33,X,95824871,NR,AL365400.2 - AL137845.2,ENSG00000270583,ENSG00000232842,,103727,148457,rs5990417-T,rs5990417,0,5990417,intergenic_variant,1,0.83,6.00E-06,5.22184875,,1.23,[NR],"Affymetrix, Perlegen [2391203] (imputed)",N
11/13/13,23696099,Ding K,5/20/13,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/23696099,Genetic variants that confer resistance to malaria are associated with red blood cell traits in African-Americans: an electronic medical record-based genome-wide association study.,Red blood cell traits,1904 African American individuals,411 African American individuals,Xq28,X,154536002,G6PD,G6PD,,,ENSG00000160211,,,rs1050828-A,rs1050828,0,1050828,missense_variant,0,0.12,9.00E-09,8.045757491,(MCH),0.72,[0.48-0.96] pg increase,Illumina [907954],N
11/13/13,23696099,Ding K,5/20/13,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/23696099,Genetic variants that confer resistance to malaria are associated with red blood cell traits in African-Americans: an electronic medical record-based genome-wide association study.,Red blood cell traits,1904 African American individuals,411 African American individuals,Xq28,X,154536002,G6PD,G6PD,,,ENSG00000160211,,,rs1050828-A,rs1050828,0,1050828,missense_variant,0,0.12,4.00E-13,12.39794001,(RBC count),0.2,[0.14-0.26] x10^12/L decrease,Illumina [907954],N
11/13/13,23696099,Ding K,5/20/13,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/23696099,Genetic variants that confer resistance to malaria are associated with red blood cell traits in African-Americans: an electronic medical record-based genome-wide association study.,Red blood cell traits,1904 African American individuals,411 African American individuals,Xq28,X,154536002,G6PD,G6PD,,,ENSG00000160211,,,rs1050828-A,rs1050828,0,1050828,missense_variant,0,0.12,1.00E-14,14,(MCV),2.46,[1.83-3.09] fL increase,Illumina [907954],N
6/1/09,19430480,Barrett JC,5/10/09,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/19430480,Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.,Type 1 diabetes,"7,514 European ancestry cases, 9,045 European ancestry controls","4,267 European ancestry cases, 4,670 European ancestry controls, 4,342 European ancestry trios from 2,319 families",Xq28,X,154717327,intergenic,GAB3,,,ENSG00000160219,,,rs2664170-G,rs2664170,0,2664170,intron_variant,0,0.32,8.00E-09,8.096910013,,1.16,[1.07-1.24],"Affymetrix, Illumina [841622] (imputed)",N
