DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xp11.4,X,39850941,NR,AL592164.1 - RPS11P7,ENSG00000261435,ENSG00000214047,,2583,14483,rs3002416-?,rs3002416,0,3002416,intergenic_variant,1,NR,2.00E-07,6.698970004,,0.055,[0.034-0.076] unit decrease,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq27.1,X,139551121,NR,F9,,,ENSG00000101981,,,rs6048-?,rs6048,0,6048,missense_variant,0,NR,8.00E-08,7.096910013,,0.059,[0.037-0.081] unit increase,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq28,X,154930010,NR,F8,,,ENSG00000185010,,,rs1800291-?,rs1800291,0,1800291,missense_variant,0,NR,3.00E-07,6.522878745,,0.0704,[0.044-0.097] unit decrease,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq28,X,155051368,NR,FUNDC2,,,ENSG00000165775,,,rs17328181-?,rs17328181,0,17328181,non_coding_transcript_exon_variant,0,NR,2.00E-07,6.698970004,,0.0752,[0.047-0.103] unit increase,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq28,X,155195893,NR,BX293995.1 - VBP1,ENSG00000235991,ENSG00000155959,,39390,1114,rs143478537-?,rs143478537,0,143478537,intergenic_variant,1,NR,9.00E-08,7.045757491,,0.0778,[0.049-0.106] unit decrease,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq28,X,155390840,NR,F8A2 - F8A3,ENSG00000274791,ENSG00000277150,,7610,66074,rs28802027-?,rs28802027,0,28802027,intergenic_variant,1,NR,3.00E-07,6.522878745,,0.0748,[0.046-0.104] unit decrease,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
11/18/19,31420334,Lindstrom S,8/16/19,Blood,www.ncbi.nlm.nih.gov/pubmed/31420334,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.,Venous thromboembolism,"29,435 European ancestry cases, 157,769 European ancestry controls",NA,Xq28,X,155595482,NR,"TMLHE, TMLHE-AS1",,,"ENSG00000185973, ENSG00000224533",,,rs147751295-?,rs147751295,0,147751295,intron_variant,0,NR,3.00E-07,6.522878745,,0.0756,[0.047-0.105] unit decrease,"Affymetrix, Illumina [12923718] (imputed)",N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009029,"Genome-wide genotyping array, Exome-wide sequencing"
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,55481116,intergenic,MAGEH1 - USP51,ENSG00000187601,ENSG00000247746,,27550,3500,rs139777717-A,rs139777717,0,139777717,intergenic_variant,1,0.00511866,6.00E-09,8.22184875,,0.0895731,[0.059-0.12] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,56325622,intergenic,KLF8 - UBQLN2,ENSG00000102349,ENSG00000188021,,34091,238017,rs141050978-C,rs141050978,0,141050978,intergenic_variant,1,0.033902,2.00E-10,9.698970004,,0.0411214,[0.028-0.054] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq12,X,65837402,intergenic,CCNYL5 - AL034397.2,ENSG00000230039,ENSG00000237311,,15153,88434,rs145644385-G,rs145644385,0,145644385,intergenic_variant,1,0.00550342,5.00E-12,11.30103,,0.102745,[0.074-0.132] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq12,X,68177797,OPHN1,OPHN1,,,ENSG00000079482,,,rs1475417-A,rs1475417,0,1475417,intron_variant,0,0.108539,4.00E-178,177.39794,,0.102621,[0.096-0.11] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq12,X,65928132,intergenic,AL034397.2,,,ENSG00000237311,,,rs148215228-T,rs148215228,0,148215228,intron_variant,0,0.0414169,3.00E-262,261.5228787,,0.265106,[0.25-0.28] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,55380060,intergenic,AL158819.1 - MIR4536-2,ENSG00000232765,ENSG00000266328,,91275,71435,rs150608359-A,rs150608359,0,150608359,intergenic_variant,1,0.0708139,3.00E-283,282.5228787,,0.776476,[0.75-0.8] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,55451188,intergenic,AL158819.1 - MIR4536-2,ENSG00000232765,ENSG00000266328,,162403,307,rs17250872-C,rs17250872,0,17250872,intergenic_variant,1,0.0464868,2.00E-27,26.69897,,0.0604074,[0.05-0.071] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,55106323,intergenic,AL590240.4 - AL590240.3,ENSG00000278319,ENSG00000276929,,4297,31607,rs191814839-G,rs191814839,0,191814839,intergenic_variant,1,0.0133689,3.00E-36,35.52287875,,0.120823,[0.1-0.14] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq12,X,67450724,intergenic,AL049641.1 - AL049564.1,ENSG00000226280,ENSG00000233710,,75204,82439,rs28833542-A,rs28833542,0,28833542,intergenic_variant,1,0.0780803,3.00E-283,282.5228787,,0.357927,[0.34-0.37] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,55402784,intergenic,AL158819.1 - MIR4536-2,ENSG00000232765,ENSG00000266328,,113999,48711,rs5914340-G,rs5914340,0,5914340,intergenic_variant,1,0.127611,8.00E-32,31.09691001,,0.0401173,[0.033-0.047] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq13.1,X,68570066,intergenic,RNU6-245P - RPL31P63,ENSG00000206747,ENSG00000236735,,30517,30033,rs5980809-G,rs5980809,0,5980809,intergenic_variant,1,0.0872413,7.00E-49,48.15490196,,0.0585,[0.051-0.066] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.21,X,56900363,intergenic,SPIN3,,,ENSG00000204271,,,rs60327283-?,rs60327283,0,60327283,intron_variant,0,0.276121,9.00E-48,47.04575749,,0.0422037,[0.037-0.048] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq13.2,X,74335104,intergenic,ZCCHC13 - AC004386.2,ENSG00000187969,ENSG00000226515,,30070,7609,rs631276-A,rs631276,0,631276,intergenic_variant,1,0.413984,3.00E-09,8.522878745,,0.0132182,[0.0089-0.0176] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp22.33,X,3422232,intergenic,ASS1P4 - SNORA48B,ENSG00000213487,ENSG00000212214,,53850,109885,rs6567508-C,rs6567508,0,6567508,intergenic_variant,1,0.341894,1.00E-15,15,,0.0185395,[0.014-0.023] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq13.1,X,69681893,EDA,EDA,,,ENSG00000158813,,,rs7065712-A,rs7065712,0,7065712,intron_variant,0,0.365471,1.00E-15,15,,0.018204,[0.014-0.023] unit decrease,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq11.1,X,63454351,intergenic,LINC01278,,,ENSG00000235437,,,rs73225255-T,rs73225255,0,73225255,intron_variant,0,0.0382999,3.00E-20,19.52287875,,0.0534357,[0.042-0.065] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
10/16/19,31562340,Akiyama M,9/27/19,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31562340,Characterizing rare and low-frequency height-associated variants in the Japanese population.,Height,"159,095 Japanese ancestry individuals","32,692 Japanese ancestry individuals",Xq13.1,X,71634424,BCYRN1,CXCR3 - BX276092.7,ENSG00000186810,ENSG00000237265,,15913,28574,rs4844299-?,rs4844299,0,4844299,regulatory_region_variant,1,NR,8.00E-09,8.096910013,,0.015622699,[0.01-0.021] unit increase,Illumina [27896057] (imputed),N,body height,http://www.ebi.ac.uk/efo/EFO_0004339,GCST008839,Genome-wide genotyping array
11/26/19,31676865,Klarin D,11/1/19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/31676865,Genome-wide association analysis of venous thromboembolism identifies new risk loci and genetic overlap with arterial vascular disease.,Venous thromboembolism,"23,151 European ancestry cases, 553,439 European ancestry controls, 2,261 African American cases, 49,400 African American controls, 654 Hispanic cases, 21,214 Hispanic controls","17,672 cases, 167,295 controls",Xq28,X,155104381,BRCC3,"MTCP1, BRCC3",,,"ENSG00000214827, ENSG00000185515",,,rs7051718-T,rs7051718,0,7051718,intron_variant,0,0.7507,4.00E-12,11.39794001,,1.07,[1.05-1.08],Affymetrix [up to 34000000] (imputed),N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009097,Genome-wide genotyping array
11/26/19,31676865,Klarin D,11/1/19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/31676865,Genome-wide association analysis of venous thromboembolism identifies new risk loci and genetic overlap with arterial vascular disease.,Venous thromboembolism,"23,151 European ancestry cases, 553,439 European ancestry controls, 2,261 African American cases, 49,400 African American controls, 654 Hispanic cases, 21,214 Hispanic controls","17,672 cases, 167,295 controls",Xq27.1,X,139551121,F9,F9,,,ENSG00000101981,,,rs6048-A,rs6048,0,6048,missense_variant,0,0.716,3.00E-17,16.52287875,,1.07,[1.05-1.09],Affymetrix [up to 34000000] (imputed),N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009097,Genome-wide genotyping array
11/26/19,31676865,Klarin D,11/1/19,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/31676865,Genome-wide association analysis of venous thromboembolism identifies new risk loci and genetic overlap with arterial vascular disease.,Venous thromboembolism,"23,151 European ancestry cases, 553,439 European ancestry controls, 2,261 African American cases, 49,400 African American controls, 654 Hispanic cases, 21,214 Hispanic controls","17,672 cases, 167,295 controls",Xp11.4,X,39849470,BCOR,AL592164.1 - RPS11P7,ENSG00000261435,ENSG00000214047,,1112,15954,rs3002417-T,rs3002417,0,3002417,regulatory_region_variant,1,0.5281,2.00E-13,12.69897,,1.06,[1.04-1.08],Affymetrix [up to 34000000] (imputed),N,venous thromboembolism,http://www.ebi.ac.uk/efo/EFO_0004286,GCST009097,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp22.31,X,8945141,intergenic,AC074281.2 - AC074281.1,ENSG00000285896,ENSG00000225271,,17988,35284,rs112591782-G,rs112591782,0,112591782,intergenic_variant,1,0.267622,2.00E-66,65.69897,,0.0426843,[0.038-0.048] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq28,X,153503006,BGN1,BGN,,,ENSG00000182492,,,rs113300903-T,rs113300903,0,113300903,intron_variant,0,0.347572,3.00E-30,29.52287875,,0.0262908,[0.022-0.031] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xq12,X,67385673,intergenic,AL049641.1 - AL049564.1,ENSG00000226280,ENSG00000233710,,10153,147490,rs113308129-A,rs113308129,0,113308129,intergenic_variant,1,0.0567485,5.00E-99,98.30103,,0.102995,[0.093-0.113] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
2/1/19,30573740,Yap CX,12/20/18,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/30573740,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Male-pattern baldness,"205,327 European ancestry males",NA,Xp11.1,X,58105512,intergenic,KRT8P17 - BX322784.1,ENSG00000235124,ENSG00000236852,,119379,4673738,rs139087387-A,rs139087387,0,139087387,intergenic_variant,1,0.0708967,3.00E-283,282.5228787,,0.73494,[0.71-0.76] unit increase,NR [19129689] (imputed),N,balding measurement,http://www.ebi.ac.uk/efo/EFO_0007825,GCST007020,Genome-wide genotyping array
3/22/19,30807572,Gong J,2/26/19,PLoS Genet,www.ncbi.nlm.nih.gov/pubmed/30807572,Genetic association and transcriptome integration identify contributing genes and tissues at cystic fibrosis modifier loci.,Meconium ileus in cystic fibrosis,"1,115 European ancestry cases, 5,655 European ancestry controls",NA,Xq23,X,116435671,SLC6A14,RNU6-154P - SLC6A14,ENSG00000207033,ENSG00000268104,,34718,935,rs3788766-T,rs3788766,0,3788766,regulatory_region_variant,1,0.61,2.00E-16,15.69897,,1.44,NR,Illumina [8763019] (imputed),N,cystic fibrosis associated meconium ileus,http://www.ebi.ac.uk/efo/EFO_0004608,GCST007367,"Genome-wide genotyping array, Genome-wide sequencing"
